Liman Adı,Tarih,Şehir,İlçe,Saat,Sıcaklık,Rüzgar,Rüzgar yönü,Basınç,Nem
KARATAŞ BALIKÇI BARINAĞI ANA MENDİREK FENER,06 Eylül,Adana,Karataş,10.06,28.9,4.5,Güneyden,1008.3,76
KEMER SIĞLIK FENERİ,06 Eylül,Antalya,Kemer,10.06,30.9,5.2,Doğudan,1008.7,48
ALANYA YENİ YAT LİMAN ANA MENDİREK FENER,06 Eylül,Antalya,Alanya,10.06,28.6,5.2,Güneydoğudan,1006.6,77
SİLİFKE/TAŞUCU SEKA ANA MENDİREK FENER,06 Eylül,Mersin,Silifke,10.06,28.7,8.0,Güneybatıdan,1007.8,87
KONAK/İZMİR PASAPORT MENDİREK FENERİ,06 Eylül,İzmir,Konak,10.06,28.2,1.2,Kuzeydoğudan,1010.5,48
TATVAN LİMAN,06 Eylül,Bitlis,Tatvan,10.06,21.2,5.1,Doğudan,1004.3,56
NARLIDERE/İZMİR KÖRFEZİ A NOKTASI IŞIKLI ŞAMANDIRA,06 Eylül,İzmir,Narlıdere,10.06,26.5,2.3,Doğudan,1011.6,53
YALOVA SAMANLIDERE TALİ (DOĞU) MENDİREK FENER,06 Eylül,Yalova,Merkez,10.06,23.6,7.6,Kuzeydoğudan,1014.6,76
İNCEBURUN (YILDIZ ADASI) MARMARİS FENERİ,06 Eylül,Muğla,Marmaris,10.06,30.9,1.7,Güneybatıdan,1009.7,43
BİGA/KARABİGA BAR. (B) NOKTASI GÜNEY MEN. FENERİ,06 Eylül,Çanakkale,Biga,10.06,24.2,2.9,Doğudan,1015.0,79
TUZLA AYDINLI LİMAN FENERİ,06 Eylül,İstanbul,Tuzla,10.06,24.8,2.3,Güneydoğudan,1014.2,64
KANDIRA/KEFKEN ADASI BATI MENDİREK FENERİ,06 Eylül,Kocaeli,Kandıra,10.06,24.1,2.5,Güneybatıdan,1014.7,81
BANDIRMA KUZEY MENDİREK FENER,06 Eylül,Balıkesir,Bandırma,10.06,24.8,10.3,Doğudan,1014.4,84
GİRESUN PALAMUT KAYALIĞI MAHMUZ FENERİ,06 Eylül,Giresun,Merkez,10.06,25.0,5.1,Kuzeydoğudan,1014.4,77
GÖKÇEADA KALEKÖY ANA MENDİREK FENERİ,06 Eylül,Çanakkale,Gökçeada,10.06,26.0,9.9,Kuzeydoğudan,1013.5,74
ZONGULDAK GÜNEY MENDİREK FENERİ,06 Eylül,Zonguldak,Merkez,10.06,24.2,5.6,Kuzeybatıdan,1013.9,76
BARTIN GÜNEY MENDİREK FENERİ,06 Eylül,Bartın,Merkez,10.06,22.1,11.3,Güneyden,1014.4,79
ÜNYE BALIKÇI BARINAĞI ANA MENDİREK FENER,06 Eylül,Ordu,Ünye,10.06,21.7,7.0,Batıdan,1011.8,100
HOPA ANA MENDİREK FENER,06 Eylül,Artvin,Hopa,10.06,22.4,3.9,Güneydoğudan,1013.2,88
BODRUM KARAADA SIĞLIK IŞIKLI ŞAMANDIRA,06 Eylül,Muğla,Bodrum,10.06,27.0,5.6,Güneydoğudan,1008.9,67
AYVALIK KANAL SANCAK A FENERİ,06 Eylül,Balıkesir,Ayvalık,10.06,27.3,8.7,Kuzeydoğudan,1012.5,45
MARMARA BARINAK ANA MENDİREK FENERİ,06 Eylül,Balıkesir,Marmara,10.06,25.1,11.1,Doğudan,1013.5,75
GÖKÇEADA UĞURLU LİMAN FENERİ,06 Eylül,Çanakkale,Gökçeada,10.06,27.9,6.0,Güneybatıdan,1013.3,58
KUŞADASI 3. NOLU ŞAMANDIRA,06 Eylül,Aydın,Kuşadası,10.06,26.6,7.0,Kuzeybatıdan,1010.5,58
MARMARA/SARAYLAR KÖYÜ BARINAK (SANDAL BASENİ) FENERİ,06 Eylül,Balıkesir,Marmara,10.06,24.8,8.4,Doğudan,1014.5,74
SİLİVRİ ANA MENDİREK FENERİ,06 Eylül,İstanbul,Silivri,10.06,25.8,4.3,Doğudan,1014.3,51
ÇEŞME/KALE YERİ SIĞ.(DÖKÜNTÜTAŞI) FENERİ,06 Eylül,İzmir,Çeşme,10.06,25.7,17.7,Kuzeyden,1010.8,71
ECEABAT/KABATEPE GÜNEY MENDİREK FENERİ,06 Eylül,Çanakkale,Eceabat,10.06,27.6,8.4,Güneydoğudan,1013.1,46
